"Exp","Site","Hole","Core","Type","Sect","A/W","Top offset on section (cm)","Bot offset on section (cm)","Top depth CSF-A (m)","Top depth CSF-B (m)","Inorganic carbon (wt%)","Calcium carbonate (wt%)","Total carbon (wt%)","Hydrogen (wt%)","Nitrogen (wt%)","Sulfur (wt%)","Organic carbon (wt%), CHNS with treated sample (wt%)","Organic carbon (wt%) by difference (CHNS-COUL)","Sample treatment method (CHNS organic carbon)","Comments",
"317","U1351","A","1","H","1","W","11.0","13.0","0.110","0.110","","","0.8800","0.00","0.3500","0.4200","","","","Decarbonated fraction for CHNS and SRA",
"317","U1351","A","1","H","1","W","11.0","13.0","0.110","0.110","3.513","29.263","4.2200","0.00","0.5300","0.0400","","0.71","","",
"317","U1351","A","1","H","1","W","25.0","26.0","0.250","0.250","","","4.0600","0.00","0.6100","0.0600","","","","",
"317","U1351","A","1","H","1","W","25.0","26.0","0.250","0.250","","","0.9500","0.00","0.3800","0.4000","","","","Decarbonated fraction for CHNS and SRA",
"317","U1351","A","1","H","1","W","25.0","26.0","0.250","0.250","3.321","27.664","","","","","","","","",
"317","U1351","A","1","H","2","W","43.0","44.0","1.920","1.920","","","2.4900","0.00","0.5400","0.2600","","","","",
"317","U1351","A","1","H","2","W","43.0","44.0","1.920","1.920","","","0.7700","0.00","0.3200","0.6900","","","","Decarbonated fraction for CHNS and SRA",
"317","U1351","A","1","H","2","W","43.0","44.0","1.920","1.920","1.681","14.003","","","","","","","","",
"317","U1351","A","2","H","3","W","98.0","99.0","6.680","6.680","","","0.3100","0.00","0.3800","0.5300","","","","Decarbonated fraction for CHNS and SRA",
"317","U1351","A","2","H","3","W","98.0","99.0","6.680","6.680","0.288","2.399","0.6700","0.00","0.5100","0.3700","","0.38","","",
"317","U1351","A","2","H","4","A","50.0","51.0","7.700","7.700","","","0.3000","0.00","0.3400","0.7300","","","","Decarbonated fraction for CHNS and SRA",
"317","U1351","A","2","H","4","A","50.0","51.0","7.700","7.700","1.704","14.194","0.9900","0.00","0.5300","0.4800","","-0.71","","",
"317","U1351","A","2","H","4","A","50.0","51.0","7.700","7.700","0.608","5.065","","","","","","","","",
"317","U1351","A","3","H","2","W","77.0","78.0","14.470","14.470","","","2.3200","0.00","0.4800","0.2300","","","","",
"317","U1351","A","3","H","2","W","77.0","78.0","14.470","14.470","","","0.5300","0.00","0.3300","0.6900","","","","Decarbonated fraction for CHNS and SRA",
"317","U1351","A","3","H","2","W","77.0","78.0","14.470","14.470","1.771","14.752","","","","","","","","",
"317","U1351","A","3","H","4","W","56.0","57.0","17.260","17.260","0.187","1.558","0.7270","0.00","0.00","0.3300","","0.54","","",
"317","U1351","A","4","H","2","W","127.0","128.0","20.970","20.950","","","0.1800","0.00","0.00","0.5000","","","","Decarbonated fraction for CHNS and SRA",
"317","U1351","A","4","H","2","W","127.0","128.0","20.970","20.950","0.867","7.222","1.2300","0.00","0.4300","0.1700","","0.36","","CHNS",
"317","U1351","A","4","H","2","W","127.0","128.0","20.970","20.950","0.953","7.938","","","","","","","","CHNS",
"317","U1351","A","4","H","3","W","76.0","77.0","21.960","21.950","","","0.6200","0.00","0.3500","1.0500","","","","Decarbonated fraction for CHNS and SRA",
"317","U1351","A","4","H","3","W","76.0","77.0","21.960","21.950","3.540","29.488","3.9500","0.00","0.6000","0.2600","","0.41","","",
"317","U1351","A","5","H","2","W","34.0","35.0","26.940","26.900","","","3.8100","0.00","0.6100","0.0800","","","","",
"317","U1351","A","5","H","2","W","34.0","35.0","26.940","26.900","","","0.2900","0.00","0.3000","0.5500","","","","Decarbonated fraction for CHNS and SRA",
"317","U1351","A","5","H","2","W","34.0","35.0","26.940","26.900","3.699","30.813","","","","","","","","",
"317","U1351","A","5","H","2","W","54.0","55.0","27.140","27.100","","","4.0400","0.00","0.5600","0.0600","","","","",
"317","U1351","A","5","H","2","W","54.0","55.0","27.140","27.100","","","0.3600","0.00","0.3500","0.5600","","","","Decarbonated fraction for CHNS and SRA",
"317","U1351","A","5","H","2","W","54.0","55.0","27.140","27.100","3.765","31.362","","","","","","","","",
"317","U1351","A","6","H","1","W","35.0","36.0","27.850","27.820","0.157","1.308","0.3500","0.00","0.4900","0.1900","","0.19","","",
"317","U1351","B","1","H","1","W","50.0","51.0","0.500","0.500","3.061","25.498","3.9300","0.00","0.5800","0.0900","","0.87","","",
"317","U1351","B","1","H","1","W","78.0","79.0","0.780","0.780","3.192","26.589","3.6100","0.00","0.5700","0.0200","","0.42","","",
"317","U1351","B","1","H","5","W","41.0","42.0","6.410","6.410","0.443","3.690","0.8700","0.00","0.5800","0.5000","","0.43","","",
"317","U1351","B","2","H","4","W","69.0","70.0","12.990","12.940","2.474","20.608","2.9000","0.00","0.5800","0.0400","","0.43","","",
"317","U1351","B","2","H","4","","101.0","102.0","13.310","13.260","2.246","18.709","2.4300","0.00","0.4500","0.2400","","0.18","","",
"317","U1351","B","3","H","2","","102.0","103.0","19.220","19.180","0.958","7.980","1.2100","0.00","0.6000","0.1800","","0.25","","",
"317","U1351","B","3","H","4","W","88.0","89.0","22.080","22.020","0.299","2.491","0.4900","0.00","0.5900","0.2000","","0.19","","",
"317","U1351","B","4","H","1","W","40.0","42.0","22.500","22.500","0.316","2.632","0.5900","0.00","0.5900","0.1800","","0.27","","",
"317","U1351","B","4","H","3","W","75.0","76.0","25.850","25.840","3.881","32.329","4.6800","0.00","0.6500","0.0400","","0.80","","",
"317","U1351","B","4","H","4","W","101.0","102.0","27.610","27.600","3.984","33.187","3.9100","0.00","0.6300","0.0100","","-0.07","","",
"317","U1351","B","5","H","2","W","26.0","27.0","29.790","29.720","0.272","2.266","0.3200","0.00","0.5500","0.0400","","0.05","","",
"317","U1351","B","5","H","3","W","26.0","27.0","31.230","31.090","4.803","40.009","5.1900","0.00","0.6500","0.0500","","0.39","","",
"317","U1351","B","6","H","1","W","128.0","129.0","33.480","33.460","0.227","1.891","0.3500","0.00","0.6200","0.1200","","0.12","","",
"317","U1351","B","6","H","4","W","99.0","100.0","37.690","37.590","0.599","4.990","0.8100","0.00","0.7200","0.1800","","0.21","","",
"317","U1351","B","7","H","3","W","112.0","113.0","43.320","43.240","2.376","19.792","2.5700","0.00","0.6000","0.0700","","0.19","","",
"317","U1351","B","7","H","4","W","68.0","69.0","44.380","44.280","2.762","23.007","2.7700","0.00","0.7200","0.0500","","0.01","","",
"317","U1351","B","8","H","3","W","81.0","82.0","51.510","51.510","3.771","31.412","4.5400","0.00","0.5700","0.00","","0.77","","",
"317","U1351","B","8","H","4","W","81.0","82.0","53.010","53.010","0.692","5.764","0.8800","0.00","0.5200","0.0600","","0.19","","",
"317","U1351","B","9","H","2","W","81.0","82.0","59.510","59.510","0.483","4.023","0.6800","0.00","0.6900","0.0400","","0.20","","",
"317","U1351","B","9","H","6","W","100.0","101.0","65.700","65.700","1.696","14.128","","","","","","","","",
"317","U1351","B","11","H","2","W","78.0","79.0","71.980","71.980","2.579","21.483","2.9300","0.00","0.5500","0.0100","","0.35","","",
"317","U1351","B","11","H","3","W","5.0","6.0","72.750","72.750","0.568","4.731","0.8200","0.00","0.6800","0.0100","","0.25","","",
"317","U1351","B","13","H","2","W","11.0","12.0","86.290","86.290","0.167","1.391","0.3600","0.00","0.7600","0.0100","","0.19","","",
"317","U1351","B","13","H","3","W","108.0","109.0","88.760","88.760","0.098","0.816","0.2200","0.00","0.6400","0.1700","","0.12","","",
"317","U1351","B","14","X","1","W","89.0","90.0","95.590","95.590","0.231","1.924","0.4100","0.00","0.6400","0.1100","","0.18","","",
"317","U1351","B","14","X","2","W","10.0","11.0","96.300","96.300","0.122","1.016","0.2800","0.00","0.6400","0.1400","","0.16","","",
"317","U1351","B","16","X","3","W","64.0","65.0","116.540","116.540","0.336","2.799","0.6600","0.00","0.8100","0.00","","0.32","","",
"317","U1351","B","16","X","4","W","107.0","108.0","118.460","118.460","0.464","3.865","0.7900","0.00","0.5200","0.2900","","0.33","","",
"317","U1351","B","18","X","1","W","25.0","26.0","132.250","132.250","0.303","2.524","0.5000","0.00","0.7200","0.0400","","0.20","","",
"317","U1351","B","18","X","1","W","110.0","111.0","133.100","133.100","0.626","5.215","0.9900","0.00","0.6700","0.00","","0.36","","",
"317","U1351","B","19","X","1","W","51.0","52.0","142.110","142.110","0.730","6.081","0.8900","0.00","0.6000","0.1200","","0.16","","",
"317","U1351","B","19","X","2","W","77.0","78.0","143.870","143.870","6.623","55.170","6.4000","0.00","0.7300","0.00","","-0.22","","",
"317","U1351","B","19","X","2","W","77.0","78.0","143.870","143.870","6.868","57.210","","","","","","","","",
"317","U1351","B","19","X","3","W","71.0","72.0","145.310","145.310","0.205","1.708","","","","","","","","",
"317","U1351","B","20","X","2","W","85.0","86.0","153.550","153.550","0.072","0.600","0.2500","0.00","0.6700","0.00","","0.18","","",
"317","U1351","B","21","X","2","W","71.0","72.0","163.010","163.010","0.168","1.399","0.4200","0.00","0.6000","0.00","","0.25","","",
"317","U1351","B","21","X","CC","W","7.0","8.0","168.170","168.170","3.328","27.722","4.4800","0.00","0.2700","0.2200","","1.15","","",
"317","U1351","B","22","X","2","W","13.0","14.0","172.030","172.030","5.559","46.306","","","","","","","","",
"317","U1351","B","25","X","1","W","61.0","62.0","199.810","199.810","0.110","0.916","0.2700","0.00","0.3100","0.3000","","0.16","","",
"317","U1351","B","25","X","2","W","53.0","54.0","201.230","201.230","4.155","34.611","4.6800","0.00","0.3000","0.2400","","0.52","","",
"317","U1351","B","25","X","2","W","53.0","54.0","201.230","201.230","4.828","40.217","","","","","","","","",
"317","U1351","B","27","X","2","W","76.0","77.0","220.660","220.660","0.165","1.374","","","","","","","","",
"317","U1351","B","27","X","5","W","72.0","73.0","225.120","225.120","0.538","4.482","","","","","","","","",
"317","U1351","B","28","X","1","W","9.0","10.0","228.090","228.090","0.185","1.541","0.3100","0.00","0.2700","0.2400","","0.13","","",
"317","U1351","B","28","X","5","W","52.0","53.0","234.520","234.520","0.224","1.866","","","","","","","","",
"317","U1351","B","28","X","6","W","12.0","13.0","235.320","235.320","0.444","3.699","0.5500","0.00","0.2800","0.3400","","0.11","","",
"317","U1351","B","29","X","2","W","101.0","102.0","240.010","239.930","0.236","1.966","","","","","","","","",
"317","U1351","B","29","X","2","W","139.0","140.0","240.390","240.300","0.272","2.266","0.4700","0.00","0.2800","0.2800","","0.20","","",
"317","U1351","B","30","X","3","W","69.0","70.0","250.790","250.790","7.494","62.425","","","","","","","","",
"317","U1351","B","30","X","6","W","37.0","38.0","254.570","254.570","0.243","2.024","","","","","","","","",
"317","U1351","B","31","X","3","W","108.0","109.0","260.780","260.780","1.058","8.813","1.5200","0.00","0.2900","0.3300","","0.46","","",
"317","U1351","B","31","X","4","W","67.0","68.0","261.870","261.870","0.224","1.866","","","","","","","","",
"317","U1351","B","32","X","1","W","69.0","70.0","266.990","266.990","0.558","4.648","0.7500","0.00","0.3100","0.4400","","0.19","","",
"317","U1351","B","32","X","2","W","71.0","72.0","268.510","268.510","","","0.9500","0.00","0.2900","0.8300","","","","",
"317","U1351","B","33","X","2","W","36.0","37.0","277.760","277.760","1.658","13.811","","","","","","","","",
"317","U1351","B","33","X","2","W","36.0","37.0","277.760","277.760","1.477","12.303","","","","","","","","",
"317","U1351","B","34","X","1","W","51.0","52.0","286.010","286.010","0.480","3.998","","","","","","","","",
"317","U1351","B","36","X","2","W","37.0","38.0","306.570","306.570","0.353","2.940","0.5700","0.00","0.3300","0.4700","","0.22","","",
"317","U1351","B","36","X","2","W","37.0","38.0","306.570","306.570","","","0.610","0.00","0.3600","0.5200","","","","",
"317","U1351","B","36","X","4","W","37.0","38.0","309.070","309.070","0.856","7.130","","","","","","","","",
"317","U1351","B","37","X","1","W","73.0","74.0","314.630","314.630","0.349","2.907","","","","","","","","",
"317","U1351","B","37","X","2","W","73.0","74.0","316.130","316.130","0.256","2.132","0.6400","0.00","0.3100","0.6200","","0.38","","",
"317","U1351","B","39","X","1","W","76.0","77.0","333.860","333.860","0.510","4.248","","","","","","","","",
"317","U1351","B","39","X","3","W","76.0","77.0","336.860","336.860","0.964","8.030","","","","","","","","",
"317","U1351","B","40","X","1","W","76.0","77.0","343.460","343.460","0.593","4.940","0.7700","0.00","0.2500","0.4900","","0.18","","",
"317","U1351","B","40","X","1","W","76.0","77.0","343.460","343.460","0.780","6.497","","","","","","","","",
"317","U1351","B","40","X","CC","W","7.0","8.0","345.410","345.410","0.581","4.840","0.6300","0.00","0.3100","0.5000","","0.05","","",
"317","U1351","B","41","X","1","W","76.0","77.0","353.060","353.060","0.329","2.741","0.5500","0.00","0.2800","0.5400","","0.22","","",
"317","U1351","B","41","X","CC","W","3.0","4.0","353.880","353.880","0.490","4.082","","","","","","","","",
"317","U1351","B","43","X","1","W","17.0","18.0","371.670","371.670","0.759","6.322","0.9500","0.00","0.3000","0.4200","","0.19","","",
"317","U1351","B","44","X","1","W","55.0","56.0","381.650","381.650","0.732","6.098","0.8500","0.00","0.2400","0.3600","","0.12","","",
"317","U1351","B","44","X","CC","W","13.0","14.0","382.540","382.540","0.746","6.214","0.9400","0.00","0.3100","0.5500","","0.19","","",
"317","U1351","B","45","X","1","W","61.0","62.0","391.310","391.310","0.719","5.989","1.0800","0.00","0.3200","0.7300","","0.36","","",
"317","U1351","B","45","X","1","W","136.0","137.0","392.060","392.060","0.784","6.531","1.1600","0.00","0.3100","0.6100","","0.38","","",
"317","U1351","B","47","X","1","W","59.0","60.0","410.390","410.390","0.867","7.222","1.2000","0.00","0.2800","0.5700","","0.33","","",
"317","U1351","B","48","X","1","W","111.0","112.0","420.510","420.510","0.591","4.923","0.7900","0.00","0.3200","0.5300","","0.20","","",
"317","U1351","B","59","H","1","W","106.0","107.0","509.460","509.460","0.305","2.541","0.3700","0.00","0.2400","0.3800","","0.07","","",
"317","U1351","B","61","X","1","W","28.0","29.0","524.780","524.780","0.317","2.641","0.4900","0.00","0.3300","0.8500","","0.17","","",
"317","U1351","B","63","X","CC","W","8.0","9.0","543.880","543.880","0.952","7.930","0.9000","0.00","0.3200","0.2800","","-0.05","","",
"317","U1351","B","63","X","CC","W","8.0","9.0","543.880","543.880","1.295","10.787","","","","","","","","",
"317","U1351","B","64","X","1","W","5.0","6.0","553.450","553.450","0.299","2.491","0.4800","0.00","0.3500","0.3200","","0.18","","",
"317","U1351","B","64","X","1","W","28.0","29.0","553.680","553.680","0.348","2.899","0.5000","0.00","0.3400","0.3400","","0.15","","",
"317","U1351","B","65","H","CC","W","8.0","9.0","563.650","563.620","0.258","2.149","0.4200","0.00","0.3000","0.3800","","0.16","","",
"317","U1351","B","67","X","CC","W","8.0","9.0","572.680","572.680","0.462","3.848","0.5500","0.00","0.2900","0.4100","","0.09","","",
"317","U1351","B","67","X","CC","W","17.0","18.0","572.770","572.770","0.445","3.707","0.5800","0.00","0.2900","0.4000","","0.13","","",
"317","U1351","B","70","X","2","","10.0","11.0","602.900","602.900","1.174","9.779","1.4300","0.00","0.2800","0.3200","","0.26","","",
"317","U1351","B","70","X","2","","37.0","38.0","603.170","603.170","1.169","9.738","1.2800","0.00","0.2800","0.3800","","0.11","","",
"317","U1351","B","72","X","1","W","101.0","102.0","621.610","621.610","1.215","10.121","1.6300","0.00","0.3600","0.6200","","0.41","","",
"317","U1351","B","72","X","2","","52.0","53.0","622.620","622.620","0.971","8.088","1.3000","0.00","0.3600","0.5100","","0.33","","",
"317","U1351","B","73","X","1","W","49.0","50.0","630.690","630.690","1.063","8.855","1.4300","0.00","0.3600","0.5000","","0.37","","",
"317","U1351","B","73","X","1","W","87.0","88.0","631.070","631.070","1.062","8.846","1.4000","0.00","0.3400","0.4300","","0.34","","",
"317","U1351","B","76","X","CC","W","41.0","42.0","659.410","659.410","0.476","3.965","0.6400","0.00","0.3200","0.3800","","0.16","","",
"317","U1351","B","77","X","1","W","6.0","7.0","668.660","668.660","0.462","3.848","0.6900","0.00","0.3100","0.3500","","0.23","","",
"317","U1351","B","77","X","1","W","52.0","53.0","669.120","669.120","0.509","4.240","0.7300","0.00","0.3400","0.4400","","0.22","","",
"317","U1351","B","88","X","1","W","120.0","121.0","756.100","756.100","0.424","3.532","","","","","","","","",
"317","U1351","B","88","X","2","W","19.0","20.0","756.590","756.590","0.237","1.974","0.3900","0.00","0.3500","0.4000","","0.15","","",
"317","U1351","B","89","X","1","W","101.0","102.0","765.510","765.510","0.660","5.498","0.8900","0.00","0.3600","0.3900","","0.23","","",
"317","U1351","B","89","X","2","W","50.0","51.0","766.500","766.500","0.795","6.622","1.0800","0.00","0.3300","0.4400","","0.29","","",
"317","U1351","B","90","X","2","W","101.0","102.0","776.610","776.610","0.680","5.664","0.9500","0.00","0.3400","0.6200","","0.27","","",
"317","U1351","B","90","X","3","W","63.0","64.0","777.730","777.730","0.803","6.689","1.0800","0.00","0.3300","0.4900","","0.28","","",
"317","U1351","B","92","X","1","W","100.0","101.0","794.300","794.300","1.287","10.721","1.5500","0.00","0.3100","0.4300","","0.26","","",
"317","U1351","B","92","X","2","W","103.0","104.0","795.830","795.830","1.355","11.287","2.6200","0.00","0.2900","0.2700","","1.27","","",
"317","U1351","B","93","X","1","W","37.0","38.0","803.370","803.360","0.700","5.831","1.0300","0.00","0.3300","0.4500","","0.33","","",
"317","U1351","B","93","X","4","W","80.0","81.0","808.300","808.120","0.521","4.340","1.1000","0.00","0.2900","0.4700","","0.58","","",
"317","U1351","B","94","X","4","W","72.0","73.0","817.820","817.820","1.488","12.395","1.9600","0.00","0.3600","0.5000","","0.47","","",
"317","U1351","B","95","X","CC","W","10.0","11.0","822.400","822.400","1.294","10.779","1.6500","0.00","0.3200","0.4400","","0.36","","",
"317","U1351","B","97","X","1","W","96.0","97.0","842.360","842.360","1.415","11.787","1.6200","0.00","0.3500","0.5200","","0.21","","",
"317","U1351","B","97","X","4","W","22.0","23.0","845.720","845.720","0.549","4.573","1.5100","0.00","0.3400","0.4300","","0.96","","",
"317","U1351","B","98","X","1","W","23.0","24.0","851.230","851.230","0.864","7.197","1.1600","0.00","0.3100","0.4900","","0.30","","",
"317","U1351","B","99","X","1","W","15.0","16.0","860.850","860.850","0.709","5.906","0.9900","0.00","0.3300","0.5000","","0.28","","",
"317","U1351","B","100","X","1","W","132.0","133.0","871.620","871.620","0.685","5.706","0.9400","0.00","0.3300","0.4400","","0.25","","",
"317","U1351","B","101","X","1","W","103.0","104.0","880.930","880.930","0.595","4.956","0.7000","0.00","0.3400","0.5400","","0.10","","",
"317","U1351","B","103","X","1","W","84.0","85.0","900.040","900.040","1.047","8.722","1.2600","0.00","0.3200","0.3700","","0.21","","",
"317","U1351","B","104","X","1","W","17.0","18.0","908.970","908.970","0.989","8.238","1.3500","0.00","0.3200","0.5100","","0.36","","",
"317","U1351","B","104","X","3","W","12.0","13.0","911.920","911.920","0.903","7.522","1.1900","0.00","0.2800","0.4500","","0.29","","",
"317","U1351","B","106","X","1","W","141.0","142.0","929.410","929.410","1.007","8.388","1.2900","0.00","0.2900","0.5100","","0.28","","",
"317","U1351","B","106","X","3","W","40.0","41.0","931.400","931.400","1.725","14.369","1.9400","0.00","0.3600","0.4800","","0.21","","",
"317","U1351","B","107","X","1","W","10.0","11.0","937.700","937.700","0.948","7.897","1.2600","0.00","0.2600","0.3900","","0.31","","",
"317","U1351","B","107","X","1","W","13.0","14.0","937.730","937.730","0.932","7.764","1.2000","0.00","0.2700","0.3900","","0.27","","",
"317","U1351","B","109","X","2","W","75.0","76.0","959.050","959.050","0.593","4.940","0.9200","0.00","0.3500","0.5400","","0.33","","",
"317","U1351","B","109","X","3","W","124.0","125.0","961.040","961.040","1.710","14.244","1.8600","0.00","0.3400","0.3500","","0.15","","",
"317","U1351","B","111","X","1","W","31.0","32.0","976.210","976.210","1.495","12.453","1.8300","0.00","0.3200","0.5000","","0.33","","",
"317","U1351","B","111","X","1","W","35.0","36.0","976.250","976.250","1.546","12.878","1.8300","0.00","0.2800","0.4300","","0.28","","",
"317","U1351","B","112","X","3","W","68.0","69.0","989.180","989.180","1.401","11.670","1.7100","0.00","0.3100","0.4200","","0.31","","",
"317","U1351","B","113","X","2","W","114.0","115.0","997.740","997.740","1.387","11.554","1.6700","0.00","0.2700","0.3500","","0.28","","",
"317","U1351","B","115","X","CC","W","3.0","4.0","1014.330","1014.330","1.380","11.495","1.7000","0.00","0.3400","0.4100","","0.32","","",
"317","U1352","B","1","H","3","W","29.0","30.0","3.290","3.290","0.445","3.707","0.7000","0.00","0.0300","0.0300","","0.25","","",
"317","U1352","B","1","H","3","W","91.0","92.0","3.910","3.910","0.179","1.491","0.3700","0.00","0.0200","0.2600","","0.19","","",
"317","U1352","B","2","H","3","W","80.0","81.0","12.000","11.980","0.058","0.483","0.1600","0.00","0.0100","0.1600","","0.10","","",
"317","U1352","B","2","H","7","W","9.0","10.0","16.790","16.750","0.019","0.158","0.1400","0.00","0.0200","0.1000","","0.12","","",
"317","U1352","B","3","H","5","W","143.0","144.0","25.130","24.930","0.286","2.382","0.3500","0.00","0.0100","0.8500","","0.06","","",
"317","U1352","B","3","H","6","W","66.0","67.0","25.860","25.640","0.129","1.075","0.2900","0.00","0.0200","0.3200","","0.16","","",
"317","U1352","B","4","H","2","W","139.0","140.0","30.090","29.880","0.115","0.958","0.3200","0.00","0.0300","0.0600","","0.21","","",
"317","U1352","B","4","H","6","W","17.0","18.0","34.870","34.320","0.092","0.766","0.2200","0.00","0.0200","0.0200","","0.13","","",
"317","U1352","B","5","H","6","W","71.0","72.0","43.630","43.250","0.070","0.583","0.2220","0.00","0.0300","0.0200","","0.15","","",
"317","U1352","B","6","H","3","W","84.0","85.0","50.040","50.000","0.183","1.524","0.4000","0.00","0.0300","0.00","","0.22","","",
"317","U1352","B","6","H","5","W","55.0","56.0","52.750","52.670","0.108","0.900","0.2860","0.00","0.0300","0.0600","","0.18","","",
"317","U1352","B","7","H","2","W","16.0","17.0","57.360","57.360","0.219","1.824","0.4790","0.00","0.0400","0.0900","","0.26","","",
"317","U1352","B","7","H","6","W","72.0","73.0","63.920","63.920","3.418","28.472","3.5200","0.00","0.0300","0.00","","0.10","","",
"317","U1352","B","8","H","3","W","82.0","83.0","69.020","68.760","0.059","0.491","0.1970","0.00","0.0300","0.2000","","0.14","","",
"317","U1352","B","8","H","CC","W","46.0","47.0","75.020","74.357","0.129","1.075","0.3200","0.00","0.0300","0.0900","","0.19","","",
"317","U1352","B","9","H","3","W","75.0","76.0","78.450","78.420","0.077","0.641","0.2400","0.00","0.0200","0.0500","","0.16","","",
"317","U1352","B","9","H","6","W","34.0","35.0","82.540","82.490","4.314","35.936","4.5300","0.00","0.0200","0.0300","","0.22","","",
"317","U1352","B","9","H","6","W","34.0","35.0","82.540","82.490","4.383","36.510","","","","","","","","",
"317","U1352","B","10","H","3","W","118.0","119.0","87.140","87.000","0.467","3.890","0.7600","0.00","0.0300","0.00","","0.29","","",
"317","U1352","B","10","H","4","W","53.0","54.0","87.990","87.820","0.192","1.599","0.4400","0.00","0.0300","0.0500","","0.25","","",
"317","U1352","B","11","H","3","W","130.0","131.0","98.000","97.740","4.763","39.676","5.3700","0.00","0.0300","0.0200","","0.61","","",
"317","U1352","B","11","H","4","W","127.0","128.0","99.450","99.120","0.242","2.016","0.4700","0.00","0.0300","0.1100","","0.23","","",
"317","U1352","B","12","H","4","W","84.0","85.0","108.500","108.320","0.317","2.641","0.5800","0.00","0.0300","0.1100","","0.26","","",
"317","U1352","B","12","H","6","W","100.0","101.0","111.660","111.380","0.342","2.849","0.6500","0.00","0.0100","0.00","","0.31","","",
"317","U1352","B","13","H","3","W","44.0","45.0","116.120","116.120","0.343","2.857","0.6100","0.00","0.0300","0.0300","","0.27","","",
"317","U1352","B","13","H","6","W","46.0","47.0","120.640","120.640","0.207","1.724","0.4980","0.00","0.0400","0.3800","","0.29","","",
"317","U1352","B","14","H","3","W","75.0","76.0","125.950","125.950","0.354","2.949","0.6200","0.00","0.0400","0.1600","","0.27","","",
"317","U1352","B","14","H","5","W","143.0","144.0","129.630","129.630","1.398","11.645","1.8700","0.00","0.0500","0.2800","","0.47","","",
"317","U1352","B","15","H","1","W","122.0","123.0","132.920","132.850","0.253","2.107","0.5300","0.00","0.0300","0.2100","","0.28","","",
"317","U1352","B","16","H","4","W","92.0","93.0","146.590","146.520","0.167","1.391","0.3700","0.00","0.0300","0.2300","","0.20","","",
"317","U1352","B","16","H","7","W","43.0","44.0","150.470","150.330","1.666","13.878","2.0100","0.00","0.0600","0.5000","","0.34","","",
"317","U1352","B","17","H","2","W","42.0","43.0","152.620","152.620","0.854","7.114","1.1300","0.00","0.0400","0.1800","","0.28","","",
"317","U1352","B","17","H","4","W","77.0","78.0","155.260","155.260","0.146","1.216","0.3000","0.00","0.0400","0.4500","","0.15","","",
"317","U1352","B","18","H","2","W","115.0","116.0","158.850","158.850","2.943","24.515","3.5300","0.00","0.0400","0.1600","","0.59","","",
"317","U1352","B","18","H","3","W","34.0","35.0","159.540","159.540","1.115","9.288","1.5800","0.00","0.0500","0.3300","","0.47","","",
"317","U1352","B","19","H","1","W","78.0","79.0","166.480","166.480","0.134","1.116","0.3600","0.00","0.0300","0.2400","","0.23","","",
"317","U1352","B","20","H","1","W","43.0","44.0","175.130","175.080","0.214","1.783","0.3100","0.00","0.0300","0.2700","","0.10","","",
"317","U1352","B","21","H","3","W","62.0","63.0","183.320","183.220","2.170","18.076","2.5100","0.00","0.0600","0.3600","","0.34","","",
"317","U1352","B","21","H","6","W","43.0","44.0","187.630","187.410","0.352","2.932","0.6800","0.00","0.0400","0.3800","","0.33","","",
"317","U1352","B","22","H","1","W","112.0","113.0","190.320","190.270","0.610","5.081","0.8300","0.00","0.0500","0.2100","","0.22","","",
"317","U1352","B","22","H","7","W","52.0","53.0","198.720","198.310","3.072","25.590","3.6000","0.00","0.0600","0.1500","","0.53","","",
"317","U1352","B","23","H","3","W","117.0","118.0","202.870","202.650","0.211","1.758","0.4860","0.00","0.0500","0.2700","","0.28","","",
"317","U1352","B","23","H","5","W","130.0","131.0","206.000","205.620","0.512","4.265","","","","","","","","",
"317","U1352","B","24","H","5","W","94.0","96.0","215.140","214.920","0.413","3.440","0.7330","0.00","0.0300","0.2000","","0.32","","",
"317","U1352","B","24","H","6","W","139.0","140.0","217.090","216.810","1.052","8.763","1.4610","0.00","0.0400","0.2400","","0.41","","",
"317","U1352","B","25","H","2","W","70.0","71.0","219.900","219.810","0.415","3.457","1.5710","0.00","0.00","0.1400","","1.16","","",
"317","U1352","B","25","H","6","W","72.0","73.0","225.920","225.570","0.595","4.956","1.2000","0.00","0.0500","0.3500","","0.60","","",
"317","U1352","B","26","H","1","W","77.0","78.0","227.970","227.970","0.233","1.941","0.5130","0.00","0.00","0.4000","","0.28","","",
"317","U1352","B","26","H","6","W","41.0","42.0","235.030","235.030","0.420","3.499","0.7600","0.00","0.0100","0.1200","","0.34","","",
"317","U1352","B","27","H","3","W","120.0","121.0","240.900","240.900","0.730","6.081","1.1810","0.00","0.0500","0.2400","","0.45","","",
"317","U1352","B","27","H","5","W","78.0","79.0","243.480","243.480","2.294","19.109","2.8730","0.00","0.0300","0.5200","","0.58","","",
"317","U1352","B","28","H","3","W","75.0","76.0","249.880","249.880","4.893","40.759","5.4330","0.00","0.0500","0.0500","","0.54","","",
"317","U1352","B","28","H","4","W","41.0","42.0","250.540","250.540","0.373","3.107","0.5210","0.00","0.0100","0.1700","","0.15","","",
"317","U1352","B","29","H","1","W","117.0","118.0","252.370","252.370","0.422","3.515","0.6700","0.00","0.0500","0.4800","","0.25","","",
"317","U1352","B","30","H","1","W","78.0","79.0","258.480","258.480","0.529","4.407","0.8000","0.00","0.0300","0.2100","","0.27","","",
