Exp,Site,Hole,Core,Type,Sect,A/W,Top offset (cm),Bottom offset (cm),Top depth CSF-A (m),Bottom depth CSF-A (m),Top depth CSF-B (m),Bottom depth CSF-B (m),(mM) IC,(µM) SPEC,Al (uM) 309.3 nm ICPAES,Alkalinity (mM) ALKALINITY,AMMONIUM (mM) DA,ammonium (mM) TITRA_MAN,Ammonium (µM) SPEC,AMMONIUM (µM) SPEC,ammonium (µM) SPEC,AMMONIUM_TEST (mM) DA,B (uM)  nm ICPAES,B (uM) 0 nm ICPAES,B (uM) 208.9 nm ICPAES,B (uM) 209 nm ICPAES,B (uM) 249.7 nm ICPAES,B (uM) 249.8 nm ICPAES,B (uM) unkn nm ICPAES,Ba (uM)  nm ICPAES,Ba (uM) 0 nm ICPAES,Ba (uM) 208.9 nm ICPAES,Ba (uM) 209 nm ICPAES,Ba (uM) 233.5 nm ICPAES,Ba (uM) 249.7 nm ICPAES,Ba (uM) 249.8 nm ICPAES,Ba (uM) 455.4 nm ICPAES,Ba (uM) 493.4 nm ICPAES,Ba (uM) unkn nm ICPAES,Bromide (mM) IC,bromide (mM) IC,Ca (mM)  nm ICPAES,Ca (mM) 0 nm ICPAES,Ca (mM) 280.3 nm ICPAES,Ca (mM) 315.9 nm ICPAES,Ca (mM) 317.9 nm ICPAES,Ca (mM) 393.4 nm ICPAES,Ca (mM) 396.8 nm ICPAES,Ca (mM) 422.7 nm ICPAES,Calcium (mM) IC,calcium (mM) IC,Chloride (mM) IC,chloride (mM) IC,Chloride (mM) TITRA_MAN,Choride (mM) IC,Cs (nM) 0 nm ICPAES,Dissolved Inorganic Carbon (mM) TOC,Fe (uM)  nm ICPAES,Fe (uM) 0 nm ICPAES,Fe (uM) 238.2 nm ICPAES,Fe (uM) 239.6 nm ICPAES,Fe (uM) 259.9 nm ICPAES,Fe (uM) unkn nm ICPAES,Inorganic carbon (wt%) COUL,K (mM)  nm ICPAES,K (mM) 0 nm ICPAES,K (mM) 766.5 nm ICPAES,K (mM) 769.9 nm ICPAES,Li (uM)  nm ICPAES,Li (uM) 0 nm ICPAES,Li (uM) 610.4 nm ICPAES,Li (uM) 670.8 nm ICPAES,Li (uM) unkn nm ICPAES,Magnesium (mM) IC,magnesium (mM) IC,Mg (mM)  nm ICPAES,Mg (mM) 0 nm ICPAES,Mg (mM) 279.6 nm ICPAES,Mg (mM) 280.3 nm ICPAES,Mg (mM) 285.2 nm ICPAES,Mg (mM) 396.8 nm ICPAES,Mn (uM)  nm ICPAES,Mn (uM) 0 nm ICPAES,Mn (uM) 249.8 nm ICPAES,Mn (uM) 257.6 nm ICPAES,Mn (uM) 259.4 nm ICPAES,Mn (uM) unkn nm ICPAES,Mo (nM) 0 nm ICPAES,n.a. (mM) IC,Na (mM)  nm ICPAES,Na (mM) 0 nm ICPAES,Na (mM) 401.8 nm ICPAES,Na (mM) 589 nm ICPAES,Na (mM) 589.6 nm ICPAES,nitrate (µM) SPEC,Nitrate/Nitrite (µM) SPEC,NITRATE_CD (mM) DA,NITRATE_LOW (mM) DA,NITRITES_TEST (mM) DA,pH ALKALINITY,PHOSPHATE (mM) DA,Phosphate (mM) DA,phosphate (µM) SPEC,phosphate (µM) TITRA_MAN,Potassium (mM) IC,potassium (mM) IC,Rb (uM) 0 nm ICPAES,S (mM)  nm ICPAES,S (mM) 0 nm ICPAES,Salinity SALINITY,Si (uM)  nm ICPAES,Si (uM) 0 nm ICPAES,Si (uM) 250.7 nm ICPAES,Si (uM) 251.6 nm ICPAES,Si (uM) 288.2 nm ICPAES,Si (uM) unkn nm ICPAES,SILICA (mM) DA,Silica (mM) DA,silica (µM) SPEC,SILICAPD (mM) DA,SO4 (mM)  nm ICPAES,SO4 (mM) 0 nm ICPAES,Sodium (mM) IC,sodium (mM) IC,Sr (uM)  nm ICPAES,Sr (uM) 0 nm ICPAES,Sr (uM) 407.8 nm ICPAES,Sr (uM) 421.6 nm ICPAES,Sr (uM) 460.7 nm ICPAES,Sr (uM) unkn nm ICPAES,Sulfate (mM) IC,sulfate (mM) IC,sulfide (µM) SPEC,sulfide (µM) TITRA_MAN,Total Carbon (ppm) TOC,Total Organic Carbon (wt%) TOC,U (nM) 0 nm ICPAES,V (nM) 0 nm ICPAES,Proceedings label,Comments,,,
317,U1351,A,1,H,1,,110,140,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.849,,,,,,,,,,,,,,,,,,,,,,,29.675,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.328,,,,,,,,,,,,,,,,,,,279.323,,,,,,,,,,,,,,,"U1351A-1H-1, 110.0-140.0 cm",  ,,,
317,U1351,A,1,H,1,,110,140,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.842,,,,,,,,,,,,,,,,,,,,,,,29.726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.345,,,,,,,,,,,,,,,,,,,279.3,,,,,,,,,,,,,,,"U1351A-1H-1, 110.0-140.0 cm",  ,,,
317,U1351,A,1,H,1,,110,140,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.099,,,,,,,,,,,,,,,,,,,,,,,30.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.574,,,,,,,,,,,,,,,,,,,291.592,,,,,,,,,,,,,,,"U1351A-1H-1, 110.0-140.0 cm",  ,,,
317,U1351,A,1,H,1,,110,140,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.123,,,,,,,,,,,,,,,,,,,,,,,31.079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.541,,,,,,,,,,,,,,,,,,,292.147,,,,,,,,,,,,,,,"U1351A-1H-1, 110.0-140.0 cm",  ,,,
317,U1351,A,1,H,1,,110,140,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.124,,,,,,,,,,,,,,,,,,,,,,,31.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.602,,,,,,,,,,,,,,,,,,,292.442,,,,,,,,,,,,,,,"U1351A-1H-1, 110.0-140.0 cm",  ,,,
317,U1351,A,1,H,1,,110,140,1.1,1.1,1.1,1.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.122,,,,,,,,,,,,,,,,,,,,,,,31.073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.714,,,,,,,,,,,,,,,,,,,292.25,,,,,,,,,,,,,,,"U1351A-1H-1, 110.0-140.0 cm",  ,,,
317,U1351,A,2,H,1,,60,70,3.3,3.3,3.3,3.3,,,,,,,,,,,,,,,,,0.56,,,,,,,,,,19.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,387,,,,,,,,,,,,,,0.11,,,,,,,,,"U1351A-2H-1, 60.0-70.0 cm",  ,,,
317,U1351,A,2,H,1,,110,140,3.8,3.8,3.8,3.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.275,,538.453,,,,,,,,,,,,,,,,,,,,,50.552,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.001,,,1.294,,,10.925,,,,,35,,,,,,,,,,314,,,,462.595,,,,,,,26.515,,,,,,,,"U1351A-2H-1, 110.0-140.0 cm",  ,,,
317,U1351,A,2,H,3,,110,140,6.8,6.8,6.8,6.8,,,,,,,,,,,,,,,,,0.71,,,,,,,,,,23.5,,,,,,,,,,,,8.94,,545.965,,,,,,,,,,,,,,,,,,,,34,46.886,,,,,,,,,,,,,,,,,,,,,,,,0.015,,,,,,,10.026,,,,,33,,,,,,642,,,,,,,,469.612,,,,,,0.32,19.451,,,,,,,,"U1351A-2H-3, 110.0-140.0 cm",  ,,,
317,U1351,A,2,H,3,,110,140,6.8,6.8,6.8,6.8,,,,,,,,,,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,0.001,,,4.473,,,,,,,,,,,,,,,,,,688.3,,,,,,,,,,,,,,,,,,,"U1351A-2H-3, 110.0-140.0 cm",  Concentration in uM changed to mM,,,
